"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD3","Oct 10 ","12:03",1351,"3C        ",48,0.9,126,4.9,48,0.9,126,4.1,1035,1100,1056,25,"x",,,
"S1",2,"StRS","RD3","Oct 10 ","14:11",1350,"3C        ",48,4.4,126,4.7,48,4.4,126,5.6,857,949,890,25,"x",,,
"S1",3,"StRS","RD2","Oct 10 ","16:04",1361,"3C        ",48,5.3,125,55.4,48,4.7,125,55.5,584,707,639,25,"x","x",,
"S1",4,"StRS","RD1","Oct 10 ","18:05",1336,"3C        ",48,7.1,125,56.6,48,6.7,125,57.2,377,430,404,25,"x","x",,
"S1",5,"StRS","RD2","Oct 10 ","20:13",1396,"3C        ",48,7.7,126,11.2,48,8.1,126,11.7,466,458,467,25,"x","x",,
"S1",6,"StRS","RD1","Oct 12 ","07:59",1325,"3C        ",48,2.1,126,7.6,48,1.9,126,8.4,185,189,187,25,"x","x",,
"S1",7,"StRS","RD3","Oct 12 ","10:03",1434,"3C        ",48,3.4,126,19.5,48,3.5,126,18.5,1077,820,899,25,"x","x",,
"S1",8,"StRS","RD2","Oct 12 ","12:02",1433,"3C        ",48,8.8,126,17.7,48,8.6,126,17,530,466,476,25,"x","x",,
"S1",9,"StRS","RD2","Oct 12 ","14:13",1436,"3C        ",48,4.1,126,22.5,48,3.4,126,22.5,553,725,635,25,"x","x",,
"S1",10,"StRS","RD2","Oct 12 ","16:02",1448,"3C        ",48,4.4,126,28.9,48,4.3,126,28.1,474,539,500,25,"x","x",,
"S1",11,"StRS","RD3","Oct 12 ","18:23",1502,"3C        ",48,6.8,126,39.2,48,6.7,126,38.3,1337,1338,1339,25,"x","x",,
"S1",12,"StRS","RD2","Oct 14 ","08:01",1335,"3C        ",48,3.1,126,29,48,2.5,126,29.1,565,603,589,25,"x","x",,
"S1",13,"StRS","RD2","Oct 14 ","10:02",1349,"3C        ",48,4.5,126,30.8,48,4.4,126,31.6,461,497,481,25,"x","x",,
"S1",14,"StRS","RD3","Oct 14 ","12:02",1377,"3C        ",48,4.4,126,35.7,48,4.4,126,36.6,866,924,859,25,"x","x",,
