"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD2","Oct  9 ","07:35",1355,"3C        ",48,2,125,55.1,48,2,125,56.1,679,722,703,25,"x",,,
"S1",2,"StRS","RD3","Oct  9 ","09:46",1365,"3C        ",48,0,126,6.5,48,0,126,7.6,1188,1385,1318,25,"x",,,
"S1",3,"StRS","RD3","Oct  9 ","13:16",1336,"3C        ",48,0.1,126,20.5,48,0.1,126,21.5,1203,1140,1171,25,"x",,,
"S1",4,"StRS","RD3","Oct  9 ","14:30",1354,"3C        ",48,2.3,126,22.1,48,2.4,126,23,1174,1195,1165,25,"x","x",,
"S1",5,"StRS","RD2","Oct  9 ","16:28",1346,"3C        ",48,7.1,126,13.9,48,7.1,126,14.9,642,690,666,25,"x","x",,
"S1",6,"StRS","RD1","Oct  9 ","18:02",1361,"3C        ",48,8.6,126,6.2,48,8.6,126,7.1,203,212,207,25,"x","x",,
"S1",7,"StRS","RD1","Oct  9 ","19:27",1393,"3C        ",48,2.5,126,0.1,48,1.7,126,0.3,362,470,405,25,"x","x","x",
"S1",8,"StRS","RD1","Oct 11 ","07:56",1333,"3C        ",48,1.9,126,7.8,48,2,126,8.8,187,192,190,25,"x",,,
"S1",9,"StRS","RD2","Oct 11 ","09:34",1357,"3C        ",48,2.8,126,18.1,48,3,126,19,670,730,698,25,"x",,,
"S1",10,"StRS","RD2","Oct 11 ","11:08",1366,"3C        ",48,8.6,126,21.1,48,8.6,126,22.2,629,708,661,25,"x",,,
"S1",11,"StRS","RD3","Oct 11 ","12:49",1397,"3C        ",48,7.7,126,30.9,48,7.8,126,31.9,1113,1282,1194,25,"x","x",,
"S1",12,"StRS","RD3","Oct 11 ","14:16",1430,"3C        ",48,0,126,37.4,48,0.1,126,38.4,1305,1314,1310,25,"x","x",,
"S1",13,"StRS","RD2","Oct 11 ","16:01",1427,"3C        ",48,3,126,30.8,48,2.6,126,31.6,555,619,585,25,"x","x",,
"S1",14,"StRS","RD2","Oct 11 ","18:25",1446,"3C        ",48,5.4,126,38.5,48,4.7,126,38.9,516,580,543,25,"x","x",,
"S1",15,"StRS","RD1","Oct 11 ","19:51",1466,"3C        ",48,8.8,126,46.3,48,8.9,126,47.4,414,457,432,25,,"x","x",
"S1",16,"StRS","RD1","Oct 13 ","06:16",1316,"3D        ",49,0,126,51.8,49,0,126,52.7,382,423,403,25,"x",,,
"S1",17,"StRS","RD1","Oct 13 ","07:36",1361,"3D        ",49,0.2,126,50,49,0.2,126,51,204,214,208,25,"x",,,
"S1",18,"StRS","RD2","Oct 13 ","09:34",1384,"3D        ",49,0.1,127,4,49,0.1,127,5,655,723,691,25,"x",,,
"S1",19,"StRS","RD2","Oct 13 ","11:19",1384,"3D        ",49,5.4,127,7.4,49,5.2,127,8.5,498,677,588,25,"x","x",,
"S2",20,"StRS","RD1","Oct 13 ","13:33",1385,"3D        ",49,9.6,127,9.1,49,9.6,127,10.1,192,209,202,25,"x","x",,
"S2",21,"StRS","RD2","Oct 13 ","14:50",1400,"3D        ",49,9.7,127,13.9,49,9.7,127,14.8,603,742,672,25,"x","x",,
"S2",22,"StRS","RD3","Oct 13 ","16:23",1447,"3D        ",49,2.6,127,19.7,49,2.6,127,20.7,924,1132,1022,25,"x","x","x",
"S2",23,"StRS","RD2","Oct 18 ","08:14",1320,"3D        ",50,6.2,128,13.6,50,5.8,128,14.3,449,629,569,25,"x",,,
"S2",24,"StRS","RD1","Oct 18 ","10:05",1332,"3D        ",50,1.3,128,7.2,50,1,128,8.2,323,488,380,25,"x",,,
"S2",26,"StRS","RD2","Oct 18 ","13:54",1349,"3D        ",49,5.8,128,1.3,49,6.2,128,2.3,519,492,494,25,"x","x",,
"S2",27,"StRS","RD3","Oct 18 ","15:30",1399,"3D        ",49,0.9,127,55.8,49,0.9,127,56.9,815,867,839,25,"x","x",,
"S2",28,"StRS","RD2","Oct 18 ","16:52",1416,"3D        ",49,5.1,127,54.5,49,4.6,127,54.8,613,760,686,25,"x","x","x",
"S2",29,"StRS","RD2","Oct 18 ","18:02",1463,"3D        ",49,3.5,127,49.1,49,3.5,127,50.4,649,750,678,25,"x","x",,
