"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
84250,1,"T","D","A","T",,"A","T","A","A","T","A",,,"A",,"T","A","T","T","A","D","T","A","A","T",,
84250,2,"D,SD","A","T","D","A","T","D","D,SD","T","D","A","T","D,SD","A","T","D","A","T","D","A","T","D,SD","A","T","D,SD",,
84250,3,"A","T","D,SD","A","T","D,SD","A","T","D","D","T",,"T","T","D","D","T","D","D,SD","T","D,SD","A","T","D,SD","D",,
84250,4,"T","D","A","T","D","D,SD","T","D","D","T","D,SD","T,SD","T","D","A","T","D","D","D","D,SD","D,SD","D","D","D","D",,
84250,5,"D","D,SD","T","D","A","T","D","A","T","D","D","T","T,SD","D","T","D,SD","D,SD","D,SD","D,SD","A","D,SD","D","D,SD","T,SD","D",,
84250,6,"D,SD","T","D","A","D","D","D","T","D,SD","A","T","D","D","D","D","T","D","D","D","D,SD","D","T","D,SD","D","D",,
84250,7,"T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D","D","T","D","T","D,SD","A","T","D","D","D","T","D,SD","D",,
84250,8,"D","D,SD","T","D","A","T","D","D","T","D","D","T","D","D,SD","D","D,SD","A","T","D","D","T","D","D,SD","D","D",,
84250,9,"D,SD","T","D,SD","A","T","D,F","D,SD","D","D,SD","D","T","D,F","D,F","D,SD","D,SD","A","T","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,10,"D,F","D,SD","T","D,SD","D,SD","D,SD","T","T,SD","A","D,SD","D,SD","D","D,SD","D,SD","T,SD","D,SD","D,SD","A","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,F",,
84250,11,,,,"A","A",,,"A","T",,,,"A",,"T","A",,"T",,,"T","A",,,,,
84250,12,"D,SD","T","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD",,
84250,13,"T,SD","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","T,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,14,"D,SD","A","T","D,SD","D,SD","T","D,SD","D","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","T,SD","D,SD",,
84250,15,"D","T","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","A","D,SD","D,SD","D","T","D,SD","D,SD","T","D","D,SD","T","D","D,SD","T,SD","D,SD","D",,
84250,16,"T","D,SD","D,SD","D,F","D,SD","A","T","D",,"T","D,SD","D,SD","D,F","D,SD","A","D,SD","D,F","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD",,
84250,17,"D,SD","A","T","D,SD","T,SD","T","D,SD","T,SD","T","D,SD","D,SD","T","D,SD","A","T","T,SD","D,SD","T","D,SD","T,SD","T,SD","D,SD","A","D,SD","D,SD",,
84250,18,"D,F","T",,"A","T,F","D,SD","A","T","T,SD","A","T","D,SD","T","T,F","D","A","T","D,F","T,SD","T","D","D","T",,"D",,
84250,19,"T","D","A","T","A","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,F","D,SD","T",,"D,SD","D,SD","D","D","D,SD",,
84250,20,"D,F","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","T,SD","T","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,F","D,SD","D,SD","T,SD","D,SD","D,SD",,
84250,21,"D",,"D,SD","A","T","D,SD","D","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D","T","D,SD","D,SD","T","A","A",,
84250,22,"T","A","A","T","D","A","T","D","D","T","D","A","T","D,SD","D,SD","T","D","A","T","D,SD","A","T","D,SD","A","T",,
84250,23,"D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD",,
84250,24,"D,F","T","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,25,"T","D,SD","D,SD","T,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","T,SD",,
84250,26,"D,SD","D,SD","T","D,SD","T","T","D,SD","A","T","D,SD","D,SD","T","D,SD","T,SD","T","D,SD","A","T","D","A","T","D,SD","D,SD","T","D,SD",,
84250,27,"A","T","T,SD","A","T","D","D","T",,"D","T","D","A","T","D","D","T","D","A","T","D","D,SD","T","D,SD","D,SD",,
84250,28,"T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","A","T,SD","D,SD","D,SD","T,SD","D,SD","D","D,F",,
84250,29,,,,,,,"A","D","T,F","D,SD","A","T","D","D,SD","T","D,F","A","T","D","A","T","D,F","D,F","T,F","D,F",,
84250,30,,"T",,"A","T","A","A","T","A","A","T","D","A","T","D",,,"A","A",,"A",,"T","D","D",,
84250,31,,,"A","T","A","A","T","D","D,SD","T",,"D,SD","T","D,SD","D","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T",,
84250,32,,"A","T","D,SD","A",,"D,SD","A","T","D,SD","D,SD","T","D",,,,"A","T","A",,,"A","A","T","D,SD",,
84250,33,"A",,"A","A","T","A","D","T","D","D,SD",,"D,SD","A","T","D","A","T","D,SD",,,"A","A",,"A",,,
84250,34,"T","D,SD","D,F","T","D,SD","A","D,SD","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","T,SD","A","T","D,SD","D,F","T","D,SD","D,SD",,,
84250,35,"D","D","T","D","A","T","D,SD","A","T","D","A","T","D,SD","A","T","D,SD","A","D","T","D","T","D","D",,"D",,
84250,36,"D,SD","T","D,SD","A","T","D,SD","D,SD","T","T,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,37,"T","D,SD","T,SD","T",,"A","T","D,SD","D,SD","T","D,SD","T","T","D,SD","D,SD","T","D,SD","D","D,SD","D,SD","A","D,SD","D,SD","A",,,
84250,38,"D,SD","A","T",,"D,SD","T","D,SD","A","T","D,SD","T,SD","T","D,SD","A","T","T,SD","A","T","D,SD","A",,"D,SD","A","T","A",,
84250,39,"A",,"T,SD","T,SD",,"D","T","T",,,"T","T,SD",,"T","D",,"T","T",,"T",,,,,,,
84250,40,"T",,"A","T","D,SD",,"T","D,SD","A","T","D","A","T","D,SD","A","T","D,SD","A","T","T,SD","D,SD","T","D,SD","D,SD","T",,
84250,41,"D,SD","A","T","T","D,SD","T","D,SD","D,SD","T",,"D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T",,,
84250,42,"A","T",,,"T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD",,"D,SD","D,SD",,,,"D","D,SD","D,SD",,
84250,43,,,"A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","T,SD","T","D,SD","T,SD","T","D,SD","T","T","D,SD","T,SD",,"T,SD","D,SD","T,SD",,
84250,44,"D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T,SD","D,SD","T,SD","T,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","T,SD",,
84250,45,"T","T","D,SD","D,SD","T","T,SD","T,SD","T","D,SD","T,SD",,"T,SD","T,SD","T","D,SD","D,SD","D,SD","D,SD","A","D,SD","T,SD","D,SD","D,SD","T,SD","T,SD",,
84250,46,"T","D,SD","T","T","D,SD","T,SD","T","D,SD","D,SD","T","D,SD","D,SD","T,SD","T,SD","T,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD",,
