"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
85230,1,"T","D","D,SD","T","D,SD","A","T","D,SD","D","T","D,SD","A","T","D,SD","D,SD","T","D,SD",,"T","D,SD","D,F","D,SD",,"D,SD","D,SD",,
85230,2,"D","A","T","A","A","T","D","A",,,"A","T","A","A","T","A",,"T","A","A","T","A","A","T","A",,
85230,3,"A","T","A","A","T","A","A","T",,,"T",,"A","T","A","A","T","A","A","T","A","D","T","D","D",,
85230,4,"T","A","A","T","D","A","T","D",,"T","D","A","T","D","A","T","D","A","T","D","A","T","D","D","T",,
85230,5,"D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","D","D,SD","D,SD","D,SD","D,SD","D,SD",,
85230,6,"AF","T",,"A","T","D","D","T","D,SD","D","T","D","D,SD","T","D","A","T","D",,"T","A",,"T","A","D,SD",,
85230,7,"T","D,F","D,F","D,F","D,F","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A",,
85230,8,"D","A","T","D,SD","A","T","D","AF","T","D",,"T","D","A","T","D,SD","D","T","D,SD","D","T","D,SD","D","D,SD",,,
85230,9,"A","T","D,SD","D,SD","T","D,SD","T","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D","T","D,SD","D,SD",,
85230,10,"T","D,SD","D,SD","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D,SD","A","D,SD",,
85230,11,"D","A","T","D","A",,"D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D,SD","T","T","D,SD",,
85230,12,"A","T","D","A","T","D",,"T",,,"T","A",,"T",,"A",,"A",,"T","A","A","T","A","A",,
85230,13,"T","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","T,F","D,SD","D,SD","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD",,
85230,14,"D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","A","T","D","D,SD","T","D,SD","A","T","D,SD",,
85230,15,"D,SD","T","D,SD","T","T","D,SD","D,SD","T","D,SD","D,SD","T,SD","D,SD","T","D,SD","D,SD","T,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85230,16,"T","T,SD","D,SD","T,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","T,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85230,17,"D,SD","D,SD","T","D,SD","D,F","D,SD","D,SD","A","T","T,SD","D,SD",,,"A","T","D,SD","D,SD","T,F",,"D","D,SD","D",,"D,SD","D,SD",,
85230,18,"D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","T,SD","T,SD","D,SD","D,SD","D,SD","D,SD","AF","D,SD","D,SD","D,SD","D,F","D,F","D,SD",,
85230,19,"T","D,F","D,F","T","D,SD","AF","D,F","D,F","T,F","T,F","D,F","D,F","D,F","D,SD","D,SD","D,F","D,SD","AF","D,F","D,SD","T,F","D,F","D,F","D,SD","D,SD",,
85230,20,"D","A","T","D","D","T","D","A",,"D","D,SD","T","D,SD","D,SD","T","D,SD",,,"D","AF","T","A","A","T",,,
85230,21,"D,F","T","D,F","A","T,F","D,SD","D,SD","D,SD","D,SD","D,SD","T,F","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","AF","D,SD","D,SD","D,SD","D,SD","D,SD","D,F",,
85230,22,"T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,F","T,SD","A","D,SD",,
85230,23,"D,SD","A","T",,"D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","A","D,SD","D,F","D,F","D,SD",,,
85230,24,"D,F","T,F","D,SD","A","T","D","D,SD","T","D","D,SD","T","D","D","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD",,
85230,25,"D,F","T,F","A",,,,,,,,,,,,,,,,,,,,,,,,
85230,26,"D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD",,
85230,27,"D,SD","T","D","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD",,
85230,28,"T","D,SD","A","T,F","D,SD","T","T","T,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,F","D,SD","AF","D,SD","D,SD","D,F","D,F","D,SD","D,SD","D,SD",,
85230,29,"D","A","T,F",,"A","T","AF","D,SD","T","D,F","A","T","D,F","D,F","T,F","D,F","AF","T,F","D,F","D,SD","T,F","D,F","D,F","T","D",,
