"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,286,90,1,0,27,28,629,48,48,48,46,48,48,0.06,562,642
2,477,222,0,0,70,70,568,52,52,51,48,52,52,0.35,558,582
3,581,243,2,0,103,105,589,47,47,47,47,47,47,0.6,585,629
4,1776,659,1,0,130,131,620,63,63,63,63,63,63,0.71,585,633
5,1371,575,2,0,129,131,573,63,63,63,62,63,63,0.76,588,597
6,2917,981,2,0,120,122,634,45,45,45,45,45,45,0.44,594,660
7,1135,439,0,0,140,138,601,68,68,68,68,68,68,0.35,566,636
8,1348,528,0,1,137,138,594,54,54,54,54,54,54,0.7,603,648
9,1734,791,3,0,144,147,588,69,67,66,67,67,69,0.67,583,604
10,2292,1201,3,0,117,120,563,62,62,62,62,62,62,0.69,550,538
11,75,18,0,0,10,10,693,8,8,8,8,8,8,0,0,691
12,1947,1151,3,0,137,140,524,54,54,54,54,54,54,0.74,547,607
13,2566,1514,1,0,183,184,544,51,50,50,50,50,51,0.74,548,578
14,1182,588,4,0,171,175,567,62,62,62,62,62,62,0.55,553,595
15,1648,725,1,0,136,137,582,57,56,56,56,56,57,0.57,562,589
16,2446,874,1,0,118,119,623,47,47,47,47,47,47,0.15,589,658
17,1483,674,6,0,125,131,566,58,58,58,58,58,58,0.78,564,610
18,839,318,4,0,88,92,610,53,50,50,50,50,53,0.38,596,627
19,1252,473,1,0,130,131,606,50,50,50,49,50,50,0.2,560,635
20,1842,848,3,0,136,139,570,50,48,48,48,48,50,0.58,560,640
21,893,445,0,0,125,125,562,55,53,53,53,53,55,0.25,549,599
22,715,249,1,0,87,88,622,60,60,60,60,60,60,0.12,549,638
23,1525,840,1,1,117,119,541,80,72,71,71,71,81,0.57,517,579
24,1852,1013,0,0,158,158,547,61,57,57,57,57,61,0.65,538,567
25,2650,1173,3,0,132,135,577,55,55,55,52,55,56,0.69,577,613
26,889,383,2,0,102,104,569,61,61,61,61,61,61,0.46,542,623
27,950,309,1,0,94,95,628,57,57,57,57,57,57,0.09,563,676
28,1731,556,2,0,114,116,608,55,53,53,53,53,55,0.47,594,690
29,788,236,1,0,82,83,652,55,50,50,50,50,55,0.4,627,703
30,523,145,0,0,55,55,661,53,50,50,50,50,53,0.18,618,686
31,704,245,0,0,102,102,625,54,52,52,52,52,54,0.27,578,649
32,425,181,1,0,41,42,581,47,47,47,47,47,47,0.49,552,592
33,293,111,1,0,27,28,561,39,38,38,38,38,39,0.18,569,598
34,1316,473,2,0,147,149,596,47,46,46,45,46,47,0.22,501,595
35,986,271,2,0,84,86,640,58,58,58,58,58,58,0.26,637,672
36,1349,484,1,0,125,126,622,66,66,66,66,66,66,0.53,592,645
37,1268,406,3,0,121,124,631,47,45,45,45,45,47,0.24,615,656
38,357,213,2,0,81,83,529,45,45,45,45,45,45,0.27,472,534
39,286,182,8,0,48,56,537,56,56,56,56,56,56,0.32,484,534
40,341,215,3,0,80,83,511,57,57,57,57,57,57,0.33,464,543
41,677,398,1,0,100,101,537,54,54,54,53,54,54,0.31,504,544
42,824,576,0,0,148,148,507,53,53,53,53,53,53,0.43,503,543
