"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,675,418,0,0,123,123,531,55,55,55,55,55,55,0.55,504,568
2,327,75,0,0,26,26,722,42,42,42,42,42,42,0.02,695,732
3,470,139,0,0,56,56,675,51,51,51,51,51,51,0.06,658,662
4,495,150,0,0,56,56,652,50,50,50,50,50,50,0.1,622,686
5,1322,650,1,0,120,121,583,56,56,56,56,56,56,0.7,557,658
6,724,281,0,0,127,127,596,46,45,45,43,45,47,0.13,529,626
7,2502,1409,0,0,153,150,577,149,56,56,56,56,149,0.27,529,582
8,1092,395,0,0,135,135,625,45,45,45,45,45,45,0.07,585,626
9,680,353,1,0,115,115,553,50,48,48,49,49,50,0.58,544,594
10,682,365,0,0,126,126,549,56,56,56,56,56,56,0.77,543,594
11,613,199,2,0,62,64,643,54,54,54,54,54,54,0.07,609,666
12,300,80,1,0,29,30,684,44,44,44,44,44,44,0.05,598,688
13,1828,1258,2,0,144,146,510,56,53,53,53,53,56,0.77,520,548
14,723,396,1,0,108,109,536,57,57,57,57,57,57,0.75,558,569
15,1864,976,5,0,137,142,552,51,50,51,51,51,51,0.52,558,573
16,2524,1386,4,0,156,160,547,57,57,57,57,57,57,0.61,536,547
17,1893,754,1,0,167,168,618,54,52,52,53,53,54,0.23,558,643
18,1162,780,3,0,121,124,515,53,53,53,53,53,53,0.85,503,617
19,2730,1439,3,0,152,155,562,61,55,55,55,55,61,0.55,558,574
20,422,131,0,0,24,24,659,47,45,45,45,45,47,0.09,614,656
21,2475,1467,1,0,118,119,548,69,53,53,53,53,69,0.58,570,627
22,1333,558,2,0,120,122,615,54,54,54,54,54,54,0.41,557,630
23,1798,1288,0,0,141,141,529,67,52,52,52,52,67,0.15,541,560
24,1272,486,1,0,126,126,615,51,51,51,51,51,51,0.31,590,626
