"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",4,1,1,1,1,1,1,1,0,0,515,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",13,3,3,3,3,3,3,3,0.33,490,498,0,1,1,1
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",15,12,12,12,12,12,12,12,0.42,472,489,0,11,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",29,1,1,1,1,1,1,1,0,0,615,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",35,3,3,3,3,3,3,3,0.67,450,375,0,1,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",37,11,11,11,11,11,11,11,0.64,465,493,0,6,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",68,16,16,16,16,16,16,16,0.63,433,459,0,2,13,1
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,4,4,4,4,4,4,4,0.5,503,440,0,1,3,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",74,5,5,5,5,5,5,5,1,449,0,0,0,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",79,1,1,1,1,1,1,1,1,630,0,0,,,
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",80,14,14,14,14,14,14,14,0.71,469,516,0,0,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",88,15,15,15,15,15,15,15,0.4,520,551,0,2,13,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",93,5,5,5,5,5,5,5,0.4,448,487,0,0,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",96,23,23,23,22,23,23,23,0.61,484,506,0,4,18,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",102,3,3,3,3,3,3,3,0.33,545,418,0,0,3,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",104,26,26,26,26,26,26,26,0.23,503,498,0,5,20,1
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",108,2,2,2,2,2,2,2,0,0,480,0,0,2,0
