"Year","lat","depth","temperature","Sets"
2018,52,753,4.4,81
2018,52,1007,3.7,84
2018,50,325.7,6.6,37
2018,48,407.5,5.8,10
2018,48,746.2,4.6,7
2018,48,383.6,6.1,13
2018,53,325,6,88
2018,50,178.4,7.5,34
2018,51,261.7,7.1,67
2018,51,687.7,4.7,64
2018,54,477,5.1,108
2018,51,540.2,5.1,57
2018,48,333.3,6.6,4
2018,51,181.5,7.3,70
2018,53,461.7,5.5,94
2018,53,773.1,4.3,91
2018,52,485.2,5.5,74
2018,54,314,6.4,111
2018,51,784,4.5,54
2018,49,824.7,4.5,27
2018,49,575.6,5.2,24
2018,48,416.9,5.8,8
2018,50,809.3,4.5,32
2018,49,474.5,5.6,20
2018,49,577.2,5.1,26
2018,50,273.6,7,35
2018,48,673.9,4.8,14
2018,53,203.9,6.9,87
2018,49,515.5,5.4,23
2018,53,667.9,4.2,90
2018,51,249.6,6.9,69
2018,52,751.7,4.3,75
2018,51,224.4,7.3,66
2018,51,440.5,5.8,60
2018,52,646.7,4.7,78
2018,54,473,5.2,109
2018,51,235.9,6.4,53
2018,52,820.5,4.3,85
2018,48,771,4.5,1
2018,48,499.8,5.4,17
2018,53,651.5,4.7,97
2018,53,652.3,4.7,106
2018,49,174.9,7.4,19
2018,53,290.1,6.4,93
2018,49,480.3,5.6,25
2018,52,586.3,4.9,76
2018,48,386.3,6.2,5
2018,49,871.7,4.1,22
2018,50,347.6,6.6,29
2018,48,675.6,4.9,2
2018,53,342.9,6.1,96
2018,51,233.9,6.5,56
2018,51,1110.9,3.4,59
2018,50,174,7.6,65
2018,51,623.2,4.9,62
2018,52,505.6,5.4,82
2018,48,340.1,6.5,15
2018,50,504,5.5,36
2018,48,461,5.6,12
2018,53,483.2,5.2,105
2018,52,180.5,6.9,73
2018,49,589.5,5.2,28
2018,48,357.8,6.3,16
2018,49,821.7,4.5,31
2018,51,579.8,5.2,61
2018,51,955.9,4,55
2018,51,442.5,5.6,58
2018,52,973.4,3.8,86
2018,54,800.4,4.2,107
2018,53,711.5,4.4,98
2018,54,312.8,6.3,104
2018,52,534.6,5.1,83
2018,54,229.1,6.7,110
2018,48,515.3,5.5,3
2018,48,531.9,5.2,9
2018,50,921.5,4.2,30
2018,48,170.1,7.5,6
2018,49,185.9,7.4,21
2018,52,276.4,6.4,80
2018,53,566.1,4.8,92
2018,50,184.6,7.6,33
2018,53,224.6,6.7,95
2018,51,401.5,6.2,68
2018,52,650.1,4.6,77
2018,53,629.8,4.5,89
2019,54,458.2,4.8,84
2019,50,521,5.3,36
2019,53,597.2,4.3,72
2019,51,248.8,5.9,68
2019,52,345.3,5.7,54
2019,52,771.7,4.2,60
2019,51,206.5,6.2,45
2019,51,734.1,4.4,48
2019,52,897.6,3.6,57
2019,48,839.3,4.4,3
2019,48,537.1,5.3,9
2019,49,666.1,4.4,18
2019,51,692.8,4.7,42
2019,49,514.5,5.4,21
2019,48,187.5,7.3,6
2019,50,564.9,4.9,33
2019,48,937.5,4.1,12
2019,51,853.4,3.7,64
2019,53,638.4,4.2,79
2019,53,723.8,4.4,82
2019,52,493.4,4.9,61
2019,53,698.8,4.4,81
2019,50,212.8,7.2,34
2019,52,358,5.7,55
2019,48,510.3,5.2,13
2019,48,554.4,5,10
2019,50,927.1,3.7,31
2019,54,536.7,4.7,85
2019,52,718.8,3.9,58
2019,50,227.6,6.9,37
2019,49,662.7,4.8,27
2019,51,533.7,4.6,51
2019,49,314.2,6.4,30
2019,53,807.9,3.8,78
2019,48,350.6,6.1,7
2019,53,502.1,4.8,75
2019,51,502.7,5.2,70
2019,50,425,5.6,24
2019,49,182.1,7.1,20
2019,52,1105.4,3,71
2019,54,235.2,6.4,88
2019,51,508.5,5.3,41
2019,51,330.7,5.6,67
2019,51,270.9,6,44
2019,49,210.2,6.9,17
2019,51,541.4,5,40
2019,52,1107.8,3.1,52
2019,51,254.7,5.4,66
2019,51,359.5,5.5,69
2019,48,836.4,4.4,4
2019,49,397.1,5.6,16
2019,51,901.1,4,50
2019,48,536.7,5.2,1
2019,49,416.1,5.5,26
2019,52,459.5,5.1,59
2019,50,624.8,5,35
2019,48,444.8,5.6,14
2019,51,557.7,4.5,47
2019,50,224.3,6.8,38
2019,54,264.6,6.4,89
2019,53,417.3,5.6,80
2019,49,534.1,5.3,29
2019,53,330.9,5.8,74
2019,54,198.1,6.9,86
2019,52,216.9,6.2,62
2019,49,669.2,5,22
2019,51,207.5,6.4,46
2019,51,624.1,4.9,43
2019,49,469.3,5.4,19
2019,54,229.1,6.4,87
2019,48,303.1,6.6,15
2019,50,578.9,4.6,39
2019,51,346.2,5.7,65
2019,51,415.2,5.7,49
2019,49,467.1,5.7,28
2019,53,365.4,5.5,73
2019,53,974.1,3.4,83
2019,48,532.1,5.2,5
2019,48,943.6,4.1,2
2019,52,1264.4,2.7,53
2019,50,1084.1,3.4,32
2019,50,545.7,5,23
2019,48,168,7.4,8
2019,52,339,5.9,56
