"Year","lat","depth","temperature","Sets"
2018,52,932,3.5,81
2018,50,388,6.1,37
2018,52,1315.6,2.6,84
2018,48,490.6,5.2,10
2018,48,987.1,3.5,7
2018,51,285,6.9,67
2018,54,524.7,4.7,108
2018,51,914.6,3.6,64
2018,53,352.1,5.8,88
2018,48,479.3,5.3,13
2018,50,193.8,7.2,34
2018,51,656.5,4.4,57
2018,48,399.6,6,4
2018,51,199.7,7.1,70
2018,53,585.8,4.6,94
2018,53,1028.7,3.1,91
2018,54,360,6,111
2018,52,601.1,4.6,74
2018,51,1077.1,3.4,54
2018,49,1139,3.3,27
2018,49,686.5,4.4,24
2018,48,484,5.2,8
2018,50,1095,3.3,32
2018,49,611.7,4.7,20
2018,49,733.6,4.2,26
2018,48,864.8,3.9,14
2018,50,299.6,6.7,35
2018,49,639.6,4.6,23
2018,53,738.7,3.8,90
2018,52,820.4,3.9,78
2018,51,280.6,6.6,69
2018,52,902.9,3.7,75
2018,51,249.1,7,66
2018,53,224.5,6.5,87
2018,51,511.8,5.3,60
2018,48,584.1,4.9,17
2018,53,821.4,3.7,97
2018,48,1026.8,3.3,1
2018,54,543.7,4.6,109
2018,51,266.8,6,53
2018,52,1122.5,3.2,85
2018,53,838.5,3.7,106
2018,53,343.9,5.8,93
2018,49,197.8,7.1,19
2018,49,567.1,5,25
2018,52,672.8,4.4,76
2018,48,464.4,5.7,5
2018,49,1017.3,3.5,22
2018,48,884.6,3.8,2
2018,50,389.5,6.2,29
2018,53,412.2,5.3,96
2018,51,1278.2,2.9,59
2018,51,265.7,6.1,56
2018,50,189.4,7.4,65
2018,51,781.4,4,62
2018,52,651.1,4.3,82
2018,48,396.3,6,15
2018,50,573.9,5,36
2018,48,591.5,4.8,12
2018,52,195.9,6.5,73
2018,53,578.7,4.5,105
2018,49,707.3,4.4,28
2018,48,416.2,5.8,16
2018,49,1127.8,3.3,31
2018,51,673.8,4.6,61
2018,51,1319.7,2.9,55
2018,51,535.5,5.1,58
2018,52,1334.5,2.5,86
2018,54,1073.7,3.1,107
2018,53,924.8,3.4,98
2018,54,361.6,5.8,104
2018,52,587.6,4.7,83
2018,54,252.7,6.4,110
2018,49,205.5,7.1,21
2018,48,188.9,7.2,6
2018,50,1259,3,30
2018,48,638.7,4.7,3
2018,48,634.8,4.6,9
2018,53,231.9,6.5,95
2018,51,454.7,5.8,68
2018,52,793.9,4,77
2018,52,307.3,6.1,80
2018,50,204.2,7.2,33
2018,53,698.2,4,92
2018,53,762.4,3.7,89
2019,50,677.3,4.4,36
2019,53,611.1,4.3,72
2019,54,465.8,4.7,84
2019,51,271.1,5.5,68
2019,52,922.4,3.5,57
2019,51,976.7,3.3,48
2019,52,425.5,5,54
2019,52,1036.5,3.2,60
2019,51,208.4,6.1,45
2019,51,1014.9,3.3,42
2019,49,679.7,4.3,18
2019,48,1157.9,3.1,3
2019,48,687.6,4.3,9
2019,48,208.4,6.9,6
2019,50,576.3,4.8,33
2019,48,1290.5,2.8,12
2019,49,672.5,4.4,21
2019,51,876.9,3.7,64
2019,53,651.6,4.1,79
2019,53,940.4,3.5,82
2019,48,664.1,4.4,10
2019,50,952.3,3.6,31
2019,52,606.3,4.2,61
2019,48,585.7,4.7,13
2019,53,910.6,3.5,81
2019,50,245.9,6.8,34
2019,52,404.5,5.1,55
2019,54,548.4,4.6,85
2019,52,736.3,3.8,58
2019,50,253.1,6.6,37
2019,48,440.7,5.4,7
2019,49,854.4,3.9,27
2019,51,542.4,4.5,51
2019,49,356.7,6,30
2019,53,556.4,4.4,75
2019,53,828.3,3.7,78
2019,50,431.5,5.5,24
2019,51,696.1,4,70
2019,54,265.7,6,88
2019,52,1139.9,2.8,71
2019,49,201.3,6.8,20
2019,51,649.8,4.4,41
2019,51,273.3,5.9,44
2019,51,397.4,5,67
2019,49,212,6.8,17
2019,52,1142,3,52
2019,51,697,4.1,40
2019,51,257.1,5.3,66
2019,48,689.1,4.3,1
2019,49,404.7,5.5,16
2019,48,1143.2,3.2,4
2019,51,433.6,5,69
2019,52,571.6,4.4,59
2019,50,863.4,3.9,35
2019,49,481.1,4.9,26
2019,48,532.5,4.9,14
2019,51,567.4,4.5,47
2019,50,226.5,6.8,38
2019,53,603.1,4.4,80
2019,54,313.7,5.8,89
2019,51,1262.4,2.8,50
2019,54,260.4,6,86
2019,52,244.6,5.7,62
2019,49,647.8,4.5,29
2019,53,420.7,4.9,74
2019,51,233.8,6,46
2019,49,967.7,3.6,22
2019,49,559.2,4.8,19
2019,51,822.6,3.8,43
2019,54,257.7,6,87
2019,48,444,5.4,15
2019,50,612.9,4.4,39
2019,51,350.2,5.7,65
2019,51,582.8,4.5,49
2019,53,447.1,4.8,73
2019,49,637.8,4.6,28
2019,48,658.4,4.4,5
2019,53,1001,3.3,83
2019,50,1108,3.3,32
2019,52,1307.8,2.6,53
2019,48,1292.2,2.9,2
2019,50,556.6,4.9,23
2019,48,189.8,6.9,8
2019,52,402.6,5.1,56
