"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.32,0.68,544,606,578
"S1","RD2       ",0.69,0.31,535,588,541
"S1","RD3       ",0.06,0.94,627,685,667
"S2","RD1       ",0.25,0.75,581,616,590
"S2","RD2       ",0.47,0.53,545,570,548
"S2","RD3       ",0.4,0.6,560,635,603
"S3","RD1       ",0.21,0.79,556,645,610
"S3","RD2       ",0.53,0.47,532,547,538
"S3","RD3       ",0.48,0.52,554,607,574
"S4","RD1       ",0.23,0.77,609,612,609
"S4","RD2       ",0.45,0.55,551,560,540
"S4","RD3       ",0.54,0.46,613,669,619
"S5","RD1       ",0.23,0.77,581,626,572
"S5","RD2       ",0.4,0.6,531,558,532
"S5","RD3       ",0.57,0.43,557,630,567
