"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2018,84250,"Sablefish","ANOPLOPOMA FIMBRIA",,19908,"INLET STANDARDIZED"
5,"Roundfish Species",2018,84250,"Codfishes","GADIDAE",1,,"INLET STANDARDIZED"
4,"Rockfish Species",2018,84250,"Shortraker rockfish","SEBASTES BOREALIS",,6,"INLET STANDARDIZED"
4,"Rockfish Species",2018,84250,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,5,"INLET STANDARDIZED"
4,"Rockfish Species",2018,84250,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,5,"INLET STANDARDIZED"
4,"Rockfish Species",2018,84250,"Aurora rockfish","SEBASTES AURORA",,1,"INLET STANDARDIZED"
3,"Flatfish Species",2018,84250,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,495,"INLET STANDARDIZED"
3,"Flatfish Species",2018,84250,"Arrowtooth flounder","ATHERESTHES STOMIAS",,33,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Mud star","CTENODISCUS CRISPATUS",15,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Oregontriton","FUSITRITON OREGONENSIS",2,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Redclaw crab","CHORILIA LONGIPES",1,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Sea cucumber","HOLOTHUROIDEA",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Vermillion starfish","MEDIASTER AEQUALIS",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,,"MAIIDAE",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,,"NEPTUNEA",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Anemone","ACTINIARIA",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Cookie star","CERAMASTER PATAGONICUS",,,"INLET STANDARDIZED"
2,"Invertebrate Species",2018,84250,"Heart urchins","ATELOSTOMATA",,,"INLET STANDARDIZED"
