"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2019,85230,"Sablefish","ANOPLOPOMA FIMBRIA",,111296,"StRS"
5,"Roundfish Species",2019,85230,"Lingcod","OPHIODON ELONGATUS",,1888,"StRS"
5,"Roundfish Species",2019,85230,"Spiny dogfish","SQUALUS ACANTHIAS",,1318,"StRS"
5,"Roundfish Species",2019,85230,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,172,"StRS"
5,"Roundfish Species",2019,85230,"Pectoral rattail","ALBATROSSIA PECTORALIS",,150,"StRS"
5,"Roundfish Species",2019,85230,"Pacific sleeper shark","SOMNIOSUS PACIFICUS",,12,"StRS"
5,"Roundfish Species",2019,85230,"Pacific cod","GADUS MACROCEPHALUS",,10,"StRS"
5,"Roundfish Species",2019,85230,"Pacific flatnose","ANTIMORA MICROLEPIS",,7,"StRS"
5,"Roundfish Species",2019,85230,"Pink snailfish","PARALIPARIS ROSACEUS",,7,"StRS"
5,"Roundfish Species",2019,85230,"Darkfin sculpin","MALACOCOTTUS ZONURUS",1,,"StRS"
5,"Roundfish Species",2019,85230,"Threadfin sculpin","ICELINUS FILAMENTOSUS",,,"StRS"
4,"Rockfish Species",2019,85230,"Rougheye rockfish","SEBASTES ALEUTIANUS",,502,"StRS"
4,"Rockfish Species",2019,85230,"Redbanded rockfish","SEBASTES BABCOCKI",,386,"StRS"
4,"Rockfish Species",2019,85230,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,168,"StRS"
4,"Rockfish Species",2019,85230,"Shortraker rockfish","SEBASTES BOREALIS",,45,"StRS"
4,"Rockfish Species",2019,85230,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,31,"StRS"
4,"Rockfish Species",2019,85230,"Yellowmouth rockfish","SEBASTES REEDI",,5,"StRS"
4,"Rockfish Species",2019,85230,"Silvergray rockfish","SEBASTES BREVISPINIS",,3,"StRS"
4,"Rockfish Species",2019,85230,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",,3,"StRS"
4,"Rockfish Species",2019,85230,,"SEBASTES",,3,"StRS"
4,"Rockfish Species",2019,85230,"Canary rockfish","SEBASTES PINNIGER",,2,"StRS"
4,"Rockfish Species",2019,85230,"Aurora rockfish","SEBASTES AURORA",,1,"StRS"
4,"Rockfish Species",2019,85230,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",4,,"StRS"
4,"Rockfish Species",2019,85230,"Sharpchin rockfish","SEBASTES ZACENTRUS",2,,"StRS"
3,"Flatfish Species",2019,85230,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,1884,"StRS"
3,"Flatfish Species",2019,85230,"Arrowtooth flounder","ATHERESTHES STOMIAS",,229,"StRS"
3,"Flatfish Species",2019,85230,"Dover sole","MICROSTOMUS PACIFICUS",,8,"StRS"
3,"Flatfish Species",2019,85230,"Petrale sole","EOPSETTA JORDANI",,7,"StRS"
2,"Invertebrate Species",2019,85230,"Grooved Tanner Crab","CHIONOECETES TANNERI",,143,"StRS"
2,"Invertebrate Species",2019,85230,"Oregontriton","FUSITRITON OREGONENSIS",,9,"StRS"
2,"Invertebrate Species",2019,85230,"Red Queen Crab","LITHODES COUESI",,9,"StRS"
2,"Invertebrate Species",2019,85230,"Giant pacific octopus","ENTEROCTOPUS DOFLEINI",,3,"StRS"
2,"Invertebrate Species",2019,85230,"Brown box crab","LOPHOLITHODES FORAMINATUS",,1,"StRS"
2,"Invertebrate Species",2019,85230,,"ALLOCENTROTUS FRAGILIS",,1,"StRS"
2,"Invertebrate Species",2019,85230,,"PARALOMIS MULTISPINA",,1,"StRS"
2,"Invertebrate Species",2019,85230,,"NEPTUNEA",6,,"StRS"
2,"Invertebrate Species",2019,85230,,"ZOROASTERIDAE",1,,"StRS"
2,"Invertebrate Species",2019,85230,"Starfish","ASTERIODEA",1,,"StRS"
2,"Invertebrate Species",2019,85230,,"PTERASTER",1,,"StRS"
2,"Invertebrate Species",2019,85230,,"RATHBUNASTER CALIFORNICUS",1,,"StRS"
2,"Invertebrate Species",2019,85230,,"SOLASTER",1,,"StRS"
2,"Invertebrate Species",2019,85230,,"HIPPASTERIA",1,,"StRS"
2,"Invertebrate Species",2019,85230,,"SOLASTERIDAE",,,"StRS"
2,"Invertebrate Species",2019,85230,,"TARSASTER ALASCANUS",,,"StRS"
2,"Invertebrate Species",2019,85230,,"AMPHIOPHIURA PONDEROSA",,,"StRS"
2,"Invertebrate Species",2019,85230,,"BUCCINIDAE",,,"StRS"
2,"Invertebrate Species",2019,85230,"Jellyfish","SCYPHOZOA",,,"StRS"
2,"Invertebrate Species",2019,85230,"Ophiuroidea","OPHIUROIDEA",,,"StRS"
2,"Invertebrate Species",2019,85230,"Rose starfish","CROSSASTER PAPPOSUS",,,"StRS"
2,"Invertebrate Species",2019,85230,"Sea lilies and feather stars","CRINODEA",,,"StRS"
