"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2018,84250,"Sablefish","ANOPLOPOMA FIMBRIA",,99246,"StRS"
5,"Roundfish Species",2018,84250,"Spiny dogfish","SQUALUS ACANTHIAS",,2973,"StRS"
5,"Roundfish Species",2018,84250,"Lingcod","OPHIODON ELONGATUS",,1912,"StRS"
5,"Roundfish Species",2018,84250,"Pectoral rattail","ALBATROSSIA PECTORALIS",,377,"StRS"
5,"Roundfish Species",2018,84250,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,332,"StRS"
5,"Roundfish Species",2018,84250,"Pacific cod","GADUS MACROCEPHALUS",,11,"StRS"
5,"Roundfish Species",2018,84250,"Pink snailfish","PARALIPARIS ROSACEUS",,10,"StRS"
5,"Roundfish Species",2018,84250,"Pacific flatnose","ANTIMORA MICROLEPIS",,8,"StRS"
5,"Roundfish Species",2018,84250,"Black hagfish","EPTATRETUS DEANI",,1,"StRS"
5,"Roundfish Species",2018,84250,"Spotted ratfish","HYDROLAGUS COLLIEI",,1,"StRS"
4,"Rockfish Species",2018,84250,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,1158,"StRS"
4,"Rockfish Species",2018,84250,"Redbanded rockfish","SEBASTES BABCOCKI",,389,"StRS"
4,"Rockfish Species",2018,84250,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,342,"StRS"
4,"Rockfish Species",2018,84250,"Shortraker rockfish","SEBASTES BOREALIS",,80,"StRS"
4,"Rockfish Species",2018,84250,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,58,"StRS"
4,"Rockfish Species",2018,84250,"Canary rockfish","SEBASTES PINNIGER",,17,"StRS"
4,"Rockfish Species",2018,84250,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",,2,"StRS"
4,"Rockfish Species",2018,84250,"Silvergray rockfish","SEBASTES BREVISPINIS",,2,"StRS"
4,"Rockfish Species",2018,84250,"Pacific ocean perch","SEBASTES ALUTUS",,1,"StRS"
4,"Rockfish Species",2018,84250,"Sharpchin rockfish","SEBASTES ZACENTRUS",,1,"StRS"
4,"Rockfish Species",2018,84250,,"SEBASTES",,1,"StRS"
4,"Rockfish Species",2018,84250,"Aurora rockfish","SEBASTES AURORA",,1,"StRS"
4,"Rockfish Species",2018,84250,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",2,,"StRS"
3,"Flatfish Species",2018,84250,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,2492,"StRS"
3,"Flatfish Species",2018,84250,"Arrowtooth flounder","ATHERESTHES STOMIAS",,678,"StRS"
3,"Flatfish Species",2018,84250,"Dover sole","MICROSTOMUS PACIFICUS",,8,"StRS"
2,"Invertebrate Species",2018,84250,"Grooved Tanner Crab","CHIONOECETES TANNERI",,119,"StRS"
2,"Invertebrate Species",2018,84250,"Red Queen Crab","LITHODES COUESI",,14,"StRS"
2,"Invertebrate Species",2018,84250,,"PARALOMIS MULTISPINA",,10,"StRS"
2,"Invertebrate Species",2018,84250,,"ALLOCENTROTUS FRAGILIS",,8,"StRS"
2,"Invertebrate Species",2018,84250,"Brown box crab","LOPHOLITHODES FORAMINATUS",,4,"StRS"
2,"Invertebrate Species",2018,84250,"Oregontriton","FUSITRITON OREGONENSIS",,3,"StRS"
2,"Invertebrate Species",2018,84250,,"NEPTUNEIDAE",,2,"StRS"
2,"Invertebrate Species",2018,84250,,"NEPTUNEA",,1,"StRS"
2,"Invertebrate Species",2018,84250,"Anemone","ACTINIARIA",,1,"StRS"
2,"Invertebrate Species",2018,84250,"Fish-eating star","STYLASTERIAS FORRERI",,1,"StRS"
2,"Invertebrate Species",2018,84250,"Golden king crab","LITHODES AEQUISPINA",,1,"StRS"
2,"Invertebrate Species",2018,84250,,"RATHBUNASTER CALIFORNICUS",4,,"StRS"
2,"Invertebrate Species",2018,84250,,"PORANIIDAE",1,,"StRS"
2,"Invertebrate Species",2018,84250,"Ophiuroidea","OPHIUROIDEA",1,,"StRS"
2,"Invertebrate Species",2018,84250,"Prawn","PANDALUS PLATYCEROS",1,,"StRS"
2,"Invertebrate Species",2018,84250,"Sea cucumber","HOLOTHUROIDEA",1,,"StRS"
2,"Invertebrate Species",2018,84250,"Soft sea cucumber","PSEUDOSTICHOPUS MOLLIS",1,,"StRS"
2,"Invertebrate Species",2018,84250,"Sweet potato sea cucumber","MOLPADIA INTERMEDIA",,,"StRS"
2,"Invertebrate Species",2018,84250,"Sea lilies and feather stars","CRINODEA",,,"StRS"
2,"Invertebrate Species",2018,84250,"Rose starfish","CROSSASTER PAPPOSUS",,,"StRS"
2,"Invertebrate Species",2018,84250,"Hermit crabs","PAGURIDAE",,,"StRS"
2,"Invertebrate Species",2018,84250,"Metridium","METRIDIUM",,,"StRS"
2,"Invertebrate Species",2018,84250,,"TRITONIA",,,"StRS"
2,"Invertebrate Species",2018,84250,,"OPHIOSCOLEX",,,"StRS"
2,"Invertebrate Species",2018,84250,,"AMPHIOPHIURA PONDEROSA",,,"StRS"
2,"Invertebrate Species",2018,84250,,"HETEROZONIAS ALTERNATUS",,,"StRS"
2,"Invertebrate Species",2018,84250,,"LOPHASTER FURCILLIGER VEXATOR",,,"StRS"
